genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,combined_text
Anime,THE YELLOW MONKEY,Tactics - Remastered,63Fr7DWb720YiiTTlaxbZ7,29,0.00305,0.523,268160,0.96,1.4e-06,B,0.301,-3.532,Minor,0.0701,117.168,4/4,0.675,"artist: the yellow monkey, track: tactics  remastered, genre: anime"
Ska,8 Kalacas,Terror,0zaajTUqLVXF7n8gBG0ndN,19,4.58e-06,0.307,169053,0.978,3.81e-05,A#,0.0553,-6.321,Minor,0.121,143.482,4/4,0.81,"artist: 8 kalacas, track: terror, genre: ska"
Rock,Deftones,Knife Prty,42Kv1RoTAm09FeytxiuZIB,55,0.00025,0.295,289200,0.883,0.0234,C,0.137,-3.897,Minor,0.0446,74.483,3/4,0.118,"artist: deftones, track: knife prty, genre: rock"
Reggae,Demarco,Self Reliance,3EiQKzwDSRuLvoWHZv8Rfr,33,0.0341,0.553,207835,0.733,0.0,D,0.172,-6.654,Major,0.356,124.185,5/4,0.281,"artist: demarco, track: self reliance, genre: reggae"
Pop,Motion City Soundtrack,Everything Is Alright,6xyiHZgrmXw7sMyYXbXjPV,64,0.000494,0.435,207634,0.95,0.0,G#,0.317,-3.869,Major,0.106,160.987,4/4,0.457,"artist: motion city soundtrack, track: everything is alright, genre: pop"
Country,Robert Earl Keen,Gringo Honeymoon,7aJUDR4y5tVWYH1higXJIH,38,0.156,0.503,293387,0.614,8.89e-05,D,0.604,-10.875,Major,0.0296,108.631,4/4,0.493,"artist: robert earl keen, track: gringo honeymoon, genre: country"
Children’s Music,Never Shout Never,Your Biggest Fan,0L3di3gB5KlamEABLJK8KK,46,0.944,0.738,210667,0.308,0.0,C,0.131,-7.242,Major,0.0419,124.979,4/4,0.531,"artist: never shout never, track: your biggest fan, genre: childrens music"
Alternative,The Internet,Just Sayin/I Tried,2F4JaV4P4zajoAiUkHD36b,50,0.427,0.489,413587,0.506,0.0862,B,0.12,-10.251,Major,0.177,95.528,4/4,0.431,"artist: the internet, track: just sayini tried, genre: alternative"
Soul,Raphael Saadiq,Stone Rollin',34vq540jPfrXKt2aogxib9,35,0.00404,0.66,216307,0.806,0.0087,B,0.0704,-4.495,Major,0.0246,99.987,4/4,0.75,"artist: raphael saadiq, track: stone rollin, genre: soul"
Rap,Huncho Jack,Modern Slavery,7J6bnDDitOwfelaJNixHhL,68,0.00158,0.737,148560,0.737,0.0,E,0.28,-3.72,Minor,0.238,134.066,4/4,0.5,"artist: huncho jack, track: modern slavery, genre: rap"
Children's Music,Music For Little People Choir,You Won't See Me,3DVGgr2lBX9flRj895xSMp,0,0.0729,0.701,274267,0.739,0.000333,C,0.0805,-6.547,Major,0.0291,120.004,4/4,0.687,"artist: music for little people choir, track: you wont see me, genre: childrens music"
R&B,Jinsang,Restless,6JfrV3NDc9eCUPM3osbwOc,44,0.506,0.737,90187,0.259,0.135,G#,0.0893,-18.901,Minor,0.423,149.106,4/4,0.42,"artist: jinsang, track: restless, genre: rb"
World,Passion,Here I Am To Worship - Live,2Cg6FXKNsP1JV4Nzoz2six,30,0.0996,0.367,291627,0.496,0.0,E,0.676,-9.038,Major,0.0356,76.069,4/4,0.197,"artist: passion, track: here i am to worship  live, genre: world"
Electronic,San Holo,show me,1rS3g0pYnbnwTtj3A4OvXP,61,0.235,0.474,341476,0.731,0.00536,C,0.223,-5.582,Major,0.0406,135.056,4/4,0.0876,"artist: san holo, track: show me, genre: electronic"
Classical,Erik Satie,3 Gymnopedies (orch. Debussy): Gymnopedie No. 2,2euauaTvztPp2Ae6rCeTri,43,0.936,0.092,221000,0.0239,0.902,G,0.18,-31.457,Major,0.0488,67.289,3/4,0.0541,"artist: erik satie, track: 3 gymnopedies orch debussy: gymnopedie no 2, genre: classical"
R&B,Shoffy,Let Go Today,3FUWD1PXnb6wxRpxqEp1zc,61,0.182,0.84,182400,0.193,0.0,G#,0.173,-11.186,Major,0.0696,99.99,4/4,0.204,"artist: shoffy, track: let go today, genre: rb"
Comedy,Robin Williams,My Way (A Mi Manera),2Z7CfiLTIg5rcF3kWsgBGi,39,0.375,0.475,104573,0.795,0.0,E,0.316,-5.005,Major,0.0824,95.518,4/4,0.412,"artist: robin williams, track: my way a mi manera, genre: comedy"
Anime,Capcom Sound Team,Monster Hunter,1qteA4p8vKkpMkIKBmMvrl,21,0.706,0.294,184120,0.652,0.823,D#,0.116,-5.36,Minor,0.036,76.006,4/4,0.212,"artist: capcom sound team, track: monster hunter, genre: anime"
Indie,Lady Lamb,Deep Love,6SKThyaFX1OQKL4CmOmvO6,45,0.366,0.496,237680,0.469,0.0,G,0.133,-6.619,Major,0.0352,137.833,4/4,0.259,"artist: lady lamb, track: deep love, genre: indie"
Opera,Richard Wagner,Lohengrin: Prelude to Act 1,0S3N4451MamSezHlJP2iZU,13,0.92,0.0942,589000,0.0341,0.953,A,0.277,-26.675,Major,0.04,84.676,4/4,0.0288,"artist: richard wagner, track: lohengrin: prelude to act 1, genre: opera"
Country,Kellie Pickler,Santa Baby,1k8aOPSd54EREmgEGhCMtP,38,0.486,0.705,207200,0.44,0.0,D,0.113,-4.452,Major,0.0254,86.008,4/4,0.453,"artist: kellie pickler, track: santa baby, genre: country"
Soundtrack,Austin Wintory,The Road of Trials,13YXIfk31BKLqdOPcEoho3,44,0.889,0.34,256819,0.386,0.905,E,0.252,-16.785,Minor,0.0378,151.964,3/4,0.234,"artist: austin wintory, track: the road of trials, genre: soundtrack"
Indie,Arcade Fire,Suburban War,2rtDHB2fSisS34D0ArWg06,49,0.0935,0.313,285133,0.853,0.169,F,0.166,-5.812,Major,0.0372,119.955,3/4,0.579,"artist: arcade fire, track: suburban war, genre: indie"
Folk,Dan Auerbach,Never in My Wildest Dreams,3MJov5mT64K42o1Rffhblq,67,0.315,0.559,176027,0.466,0.0039,F,0.0933,-6.769,Major,0.0362,117.21,4/4,0.623,"artist: dan auerbach, track: never in my wildest dreams, genre: folk"
Movie,Jean Claude Corbel,La chanson de Bambi,1E3O49ta4DCQKk5edq4RCo,0,0.801,0.557,63023,0.247,0.0,E,0.179,-12.371,Minor,0.0308,109.603,4/4,0.276,"artist: jean claude corbel, track: la chanson de bambi, genre: movie"
Comedy,Mike Baldwin,Vodka & Cigarettes,778dD4v6b3gjH863Vo7nkp,16,0.712,0.446,175852,0.69,0.0,G#,0.953,-13.451,Major,0.911,85.848,3/4,0.298,"artist: mike baldwin, track: vodka  cigarettes, genre: comedy"
Reggae,Lady Saw,Hice It Up,5Y1F5SHJmgfaieBeqfVWvd,38,0.561,0.797,197600,0.523,0.0,D,0.216,-9.817,Major,0.0448,93.909,4/4,0.653,"artist: lady saw, track: hice it up, genre: reggae"
Electronic,Oneohtrix Point Never,Chrome Country,5G54EXkOheyrrT3CDM07Mm,48,0.123,0.378,305287,0.318,0.896,G#,0.0933,-8.58,Major,0.0351,121.904,4/4,0.0382,"artist: oneohtrix point never, track: chrome country, genre: electronic"
Jazz,Deaf Center,Fiction Dawn,3ChhALyr8REPYB1d8i02S8,45,0.995,0.448,152160,0.00827,0.887,B,0.34,-27.805,Minor,0.0541,104.538,4/4,0.54,"artist: deaf center, track: fiction dawn, genre: jazz"
Movie,Nathan Lane,I Love to Travel,4uRbiSR27SdMbl2DYV1YTa,10,0.639,0.69,243267,0.418,0.0,C#,0.14,-8.028,Major,0.416,100.596,4/4,0.584,"artist: nathan lane, track: i love to travel, genre: movie"
Soundtrack,John Williams,The Princess Appears,0mcjp7typ1CcpSiycHZT2E,34,0.956,0.185,247493,0.0599,0.872,G#,0.125,-27.514,Major,0.0428,77.707,1/4,0.0393,"artist: john williams, track: the princess appears, genre: soundtrack"
Anime,MAXIMUM THE HORMONE,UEHARA -FUTOSHI-,42CFeI68D2wyXtJN7dqyF4,22,0.000889,0.281,156373,0.984,0.000187,A#,0.236,-3.897,Minor,0.306,139.402,4/4,0.249,"artist: maximum the hormone, track: uehara futoshi, genre: anime"
Anime,"Kami-sama, I have noticed",破滅のオレンジ,1jCdXQ7whHvxWvMzBiU9sW,39,0.0515,0.623,211507,0.952,0.0,A,0.117,-4.83,Minor,0.266,134.966,4/4,0.39,"artist: kamisama, i have noticed, track: , genre: anime"
Rap,Blac Youngsta,Uh Uh,1HqwkyAAb8gLZlOAhUo6Kh,62,0.000385,0.903,163400,0.647,6.29e-05,C#,0.111,-9.612,Major,0.0998,142.963,4/4,0.817,"artist: blac youngsta, track: uh uh, genre: rap"
Children’s Music,Passion,It Is Finished - Live,6CAEUmlr6iQeJRqgJXkouf,51,0.235,0.357,327587,0.556,0.0,F,0.104,-7.43,Major,0.0335,148.01,4/4,0.191,"artist: passion, track: it is finished  live, genre: childrens music"
Jazz,Jordan Rakei,Hiding Place,0CKzjK51YsIhBsD8NMFyvV,53,0.465,0.645,226509,0.452,0.144,A,0.108,-8.305,Minor,0.0582,140.028,4/4,0.272,"artist: jordan rakei, track: hiding place, genre: jazz"
World,Philip Glass,The Crypt,4RpkSzYe5rNbKioFcqtAPD,31,0.974,0.153,77173,0.0459,0.71,F,0.114,-25.249,Major,0.0434,102.788,4/4,0.0402,"artist: philip glass, track: the crypt, genre: world"
Electronic,Dillon Francis,Need You,20UdW4qyeOmKa9YaOcv9WX,53,0.00171,0.721,197442,0.925,0.0545,E,0.547,-3.208,Minor,0.196,111.961,4/4,0.37,"artist: dillon francis, track: need you, genre: electronic"
Hip-Hop,Chief Keef,I Just Wanna (feat. Mac Miller),1HXpDKleNbmMKgo2c3UOJn,48,0.0332,0.654,317846,0.526,0.0,C#,0.136,-7.591,Major,0.423,120.019,4/4,0.384,"artist: chief keef, track: i just wanna feat mac miller, genre: hiphop"
R&B,Pink Sweat$,Call Me,2L8v9XGq0NpHQBQBNCRID8,64,0.636,0.726,101500,0.375,0.0,E,0.0894,-8.295,Major,0.0336,106.854,4/4,0.762,"artist: pink sweat, track: call me, genre: rb"
Rock,The Flying Burrito Brothers,Wild Horses,6eYqvu9hPLkKQL0YgHXKFV,56,0.15,0.525,380467,0.391,0.000541,G,0.107,-12.166,Major,0.0284,130.443,4/4,0.27,"artist: the flying burrito brothers, track: wild horses, genre: rock"
Comedy,Todd Barry,"Prairie Dogs, Sweet Soap",3lbdnHpHHd2EsiLOq1dN03,20,0.857,0.561,152120,0.701,0.0,G#,0.434,-14.806,Major,0.929,81.994,5/4,0.423,"artist: todd barry, track: prairie dogs, sweet soap, genre: comedy"
Comedy,Jeff Foxworthy,Victoria's Secret,1GEHYX94u6gMcacs49ADK4,21,0.775,0.543,243333,0.892,0.0,B,0.704,-9.395,Major,0.948,95.459,1/4,0.171,"artist: jeff foxworthy, track: victorias secret, genre: comedy"
Ska,The Black Seeds,Sometimes Enough,7j0XGTEsYy8M3n5yU8KL3Q,17,0.00377,0.798,286013,0.765,0.000788,D,0.0989,-7.299,Minor,0.0699,99.047,4/4,0.626,"artist: the black seeds, track: sometimes enough, genre: ska"
Folk,Lake Street Dive,Who Do You Think You Are?,5ZvK2j6sPgiEImPnfV9gVa,45,0.175,0.675,288118,0.777,0.00703,G,0.297,-4.699,Major,0.0392,105.022,4/4,0.507,"artist: lake street dive, track: who do you think you are, genre: folk"
Folk,Real Estate,Beneath The Dunes,3nmpt6D8VQ85pkOl6eMhQo,45,0.0607,0.523,227280,0.894,0.624,G#,0.235,-6.467,Minor,0.0281,140.735,4/4,0.842,"artist: real estate, track: beneath the dunes, genre: folk"
Jazz,Russ Freeman,I'll Be Around,2FAmmtadUxJVOSqr6vxREa,33,0.07,0.765,246400,0.699,0.0,G,0.0759,-7.529,Minor,0.0263,110.414,4/4,0.633,"artist: russ freeman, track: ill be around, genre: jazz"
Dance,Nelly,Pimp Juice,7bYKMJI4z6mApjLhv4hOBM,50,0.199,0.81,292160,0.649,7.66e-05,A,0.171,-9.094,Major,0.0908,74.383,4/4,0.59,"artist: nelly, track: pimp juice, genre: dance"
Soundtrack,John Williams,"Theme - From ""Jurassic Park""",6IiA0iOiyieRdkb2OMyTJc,36,0.784,0.0969,361627,0.227,0.842,A#,0.128,-15.471,Major,0.037,62.992,4/4,0.0675,"artist: john williams, track: theme  from jurassic park, genre: soundtrack"
Rock,Whitney,No Woman,1CLmFKW99S8eJrebO3GB04,63,0.893,0.581,237973,0.4,0.576,D,0.161,-8.739,Major,0.0291,112.331,4/4,0.433,"artist: whitney, track: no woman, genre: rock"
Pop,Sebastian Yatra,My Only One (No Hay Nadie Más),1gJA27xiMdENwoAVN7kMlo,68,0.693,0.727,198280,0.526,0.0,F#,0.116,-6.307,Major,0.0378,105.086,4/4,0.681,"artist: sebastian yatra, track: my only one no hay nadie ms, genre: pop"
Hip-Hop,Young Thug,You Said (feat. Quavo),1gUakci7HwPcImtp0i79N3,59,0.147,0.577,402067,0.557,0.0,G#,0.21,-6.894,Major,0.114,119.977,4/4,0.177,"artist: young thug, track: you said feat quavo, genre: hiphop"
Folk,City and Colour,The Death of Me,5cqsE9IslmBVMRZXzYqMin,39,0.293,0.563,190067,0.725,0.000525,G,0.361,-6.366,Major,0.0317,102.962,4/4,0.677,"artist: city and colour, track: the death of me, genre: folk"
Soul,D'Angelo,Me And Those Dreamin' Eyes Of Mine,5MjUkhqCpr5uZ39xZmLZxe,48,0.702,0.511,286800,0.402,0.00014,E,0.11,-10.695,Minor,0.219,83.339,4/4,0.503,"artist: dangelo, track: me and those dreamin eyes of mine, genre: soul"
Children's Music,Juice Music,Fiddle Dee Dee,1LN4l0mSF8smwbmpIEw50W,0,0.585,0.967,79253,0.366,0.0,G,0.0596,-12.628,Major,0.113,110.048,4/4,0.964,"artist: juice music, track: fiddle dee dee, genre: childrens music"
Blues,Jimmy Reed,"Bright Lights, Big City",3uNEUuL8U3RqHVyhiuD6DY,27,0.973,0.744,156973,0.349,0.0155,D,0.108,-9.234,Major,0.0385,92.433,4/4,0.734,"artist: jimmy reed, track: bright lights, big city, genre: blues"
Soundtrack,Randy Edelman,Garden Scene,7Lzn4u1V6HqtsbnBe0o69O,20,0.988,0.0623,200973,0.021,0.913,E,0.0698,-29.708,Major,0.0451,58.082,4/4,0.0339,"artist: randy edelman, track: garden scene, genre: soundtrack"
Electronic,Zero 7,Simple Science - Radio Edit,1IQrS6ioO9tCtevYzRHPLr,25,0.0123,0.678,238040,0.715,0.000145,C,0.163,-7.656,Major,0.0316,116.995,4/4,0.902,"artist: zero 7, track: simple science  radio edit, genre: electronic"
Comedy,Stephen Lynch,Mixer at Delta Chi,1Un4ZEzm64ncrnhxBCizXE,30,0.515,0.606,126413,0.814,0.0,C,0.219,-6.94,Major,0.215,132.043,4/4,0.84,"artist: stephen lynch, track: mixer at delta chi, genre: comedy"
Jazz,Benny Sings,So Far So Good,5DuCKh4EQGiHo3vQ9RE1XS,35,0.312,0.767,165893,0.371,0.0434,G,0.0809,-14.36,Minor,0.033,95.01,4/4,0.598,"artist: benny sings, track: so far so good, genre: jazz"
Pop,Henry Jamison,Real Peach,6p4mASLulKdpNFLxQhs0ff,69,0.398,0.579,233289,0.559,0.000206,C#,0.0817,-7.338,Major,0.0325,151.985,4/4,0.328,"artist: henry jamison, track: real peach, genre: pop"
Jazz,The Cat Empire,Ready Now,6k9usWtGTXrKNazCmHJQB5,48,0.0297,0.621,194693,0.816,0.0949,G,0.324,-5.007,Minor,0.0409,85.023,4/4,0.72,"artist: the cat empire, track: ready now, genre: jazz"
Folk,Foxwarren,Everything Apart,1TDiJ89UnLFICb9WzmeGNX,53,0.19,0.656,256917,0.324,0.63,C,0.121,-12.341,Major,0.128,80.982,3/4,0.11,"artist: foxwarren, track: everything apart, genre: folk"
Soul,Two Another,Over My Shoulder,5PpbET7T64pTPhWB3Nsh7f,55,0.135,0.815,240104,0.81,0.00954,F#,0.54,-5.842,Major,0.0787,115.997,4/4,0.612,"artist: two another, track: over my shoulder, genre: soul"
World,Shane & Shane,"Psalm 23 (Surely Goodness, Surely Mercy)",2Zxili8AmCuqiomg9HzTgH,51,0.203,0.509,287080,0.276,0.0,C,0.15,-10.406,Major,0.0301,109.707,4/4,0.138,"artist: shane  shane, track: psalm 23 surely goodness, surely mercy, genre: world"
Movie,Cliff Edwards,"I'm No Fool (As a Pedestrian) / Stop, Look and Listen",3EYevgARwnn5hgKWor63Pe,1,0.816,0.642,122827,0.27,0.0,D#,0.0726,-12.059,Major,0.323,164.488,3/4,0.795,"artist: cliff edwards, track: im no fool as a pedestrian  stop, look and listen, genre: movie"
Children’s Music,D'Angelo,Untitled (How Does It Feel),4oPNN7syJYSjzDhRerF966,60,0.16,0.838,430800,0.304,0.0257,E,0.0828,-9.975,Minor,0.0628,112.618,3/4,0.221,"artist: dangelo, track: untitled how does it feel, genre: childrens music"
Indie,Andrew Bird,Pulaski,1tGRfoeKD06YvZr6l3uwEk,45,0.174,0.453,242147,0.717,0.00243,G,0.12,-7.724,Major,0.0754,111.019,4/4,0.393,"artist: andrew bird, track: pulaski, genre: indie"
Reggae,The Pioneers,Starvation,1kExFEJRsmEpMWN79nDCgR,33,0.574,0.707,161320,0.536,0.437,B,0.0953,-9.459,Major,0.171,170.863,4/4,0.966,"artist: the pioneers, track: starvation, genre: reggae"
Soul,Brandt Orange,Hands,0j9U4kbeDlULvhw56CvfAx,47,0.723,0.435,284870,0.398,0.0,A,0.193,-8.77,Major,0.0385,111.993,4/4,0.289,"artist: brandt orange, track: hands, genre: soul"
Pop,Meek Mill,All Eyes on You (feat. Chris Brown & Nicki Minaj),0hy1SOTEn9ifXTzOwnCwEr,72,0.0242,0.589,223973,0.658,0.0,B,0.118,-5.288,Minor,0.203,77.521,4/4,0.251,"artist: meek mill, track: all eyes on you feat chris brown  nicki minaj, genre: pop"
Soundtrack,Gustavo Santaolalla,The Path (A New Beginning),1hdDnQRPinE8hxYhW3uy6u,51,0.874,0.635,167067,0.256,0.95,B,0.107,-14.187,Minor,0.0355,92.025,4/4,0.249,"artist: gustavo santaolalla, track: the path a new beginning, genre: soundtrack"
Rap,Preme,Jackie Chan,6Tb8Fse6LfJ0CRZVlNjHF5,66,0.538,0.749,223173,0.641,0.0,F#,0.0775,-5.268,Major,0.0444,140.08,4/4,0.409,"artist: preme, track: jackie chan, genre: rap"
Soul,LEISURE,Easy Way Out,4NCFHqjNdvAFRb4Xihb7j2,52,0.201,0.875,232447,0.483,0.0113,F#,0.151,-9.275,Minor,0.0918,105.023,4/4,0.443,"artist: leisure, track: easy way out, genre: soul"
Children's Music,The Countdown Kids,The Alphabet Song,1o0ju17dryk4DRxGbMArvr,0,0.383,0.529,131907,0.538,7.45e-06,A#,0.328,-11.549,Major,0.0265,82.517,4/4,0.797,"artist: the countdown kids, track: the alphabet song, genre: childrens music"
Movie,Susan Egan,"Gimme, Gimme (Live)",1Sd1DsVrD32iAxdn8wzoG6,13,0.469,0.473,256994,0.476,0.0,B,0.218,-8.038,Major,0.0807,100.185,4/4,0.317,"artist: susan egan, track: gimme, gimme live, genre: movie"
Indie,Teen Daze,First Rain,4eIfgREA4jOxaTL0dpgd6T,50,0.964,0.225,237547,0.151,0.503,A,0.307,-16.13,Major,0.0352,147.697,4/4,0.0517,"artist: teen daze, track: first rain, genre: indie"
Electronic,Moby,Sunday (B-Sides),0k0kLt4zxS7qMSnnNMBUik,25,0.159,0.687,303440,0.63,0.953,B,0.105,-9.82,Minor,0.0461,126.004,4/4,0.108,"artist: moby, track: sunday bsides, genre: electronic"
World,Citipointe Live,Higher + Wider + Deeper,5pf1gg62QrDvphihR9yVQ3,36,0.00498,0.368,558973,0.463,6.02e-05,E,0.129,-9.916,Major,0.0305,180.108,4/4,0.0475,"artist: citipointe live, track: higher  wider  deeper, genre: world"
World,Jai Uttal,Nataraja,0bILFzh7lf1yF6aYzpLKa9,29,0.938,0.61,905867,0.244,0.897,B,0.113,-16.337,Minor,0.0313,180.033,5/4,0.54,"artist: jai uttal, track: nataraja, genre: world"
Soul,THEY.,What You Want,50LSNgJLskXvLroHEHHnqP,42,0.0779,0.68,190358,0.909,0.0,C,0.378,-4.74,Major,0.0822,147.927,4/4,0.809,"artist: they, track: what you want, genre: soul"
Blues,Billy Stewart,Strange Feeling,4HU9laLeRPjx2xB224e2CI,28,0.788,0.435,129907,0.33,0.000544,G,0.118,-15.266,Major,0.03,173.526,3/4,0.867,"artist: billy stewart, track: strange feeling, genre: blues"
World,Pat Barrett,Sails,5IvlWYwqxT4HiJMUOyhXOV,52,0.816,0.276,323520,0.249,2.16e-06,A,0.0994,-8.751,Major,0.0304,136.231,3/4,0.158,"artist: pat barrett, track: sails, genre: world"
Soul,Mura Masa,...Girl,2CJOCW4VWc0u6gKTvRkdXA,45,0.182,0.779,170455,0.74,0.806,G,0.0877,-9.084,Major,0.424,176.061,4/4,0.458,"artist: mura masa, track: girl, genre: soul"
Indie,Eves Karydas,Wildest Ones,0EiTmP7qmDMsURvrMAdkGD,61,0.68,0.603,244267,0.337,0.00086,F#,0.102,-10.325,Major,0.0332,139.824,4/4,0.164,"artist: eves karydas, track: wildest ones, genre: indie"
Movie,Chantal Goya,Polichinelle,0ioi9akKyfjHuYZFFiEEBG,21,0.24,0.576,210427,0.814,0.0,A,0.201,-7.64,Major,0.0643,132.228,4/4,0.802,"artist: chantal goya, track: polichinelle, genre: movie"
